index,herocompare,item0,item1,item2,item3,item4,item5,skill,itemhero,item_WR0,item_name0,item_WR1,item_name1,item_WR2,item_name2,item_WR3,item_name3,item_WR4,item_name4,item_WR5,item_name5,skill_WR,herocompare_name,itemhero_name
10,1,63.0,174.0,212.0,196.0,147.0,81.0,W,12,0.08209084466336825,Power Treads,0.12608790239765955,Diffusal Blade,0.11105908177607293,Ring of Aquila,0.4862440007996712,Diffusal Blade,0.7743499254039536,Manta Style,0.7762089217671884,Vladmir's Offering,0.6430722288217166,Anti-Mage,Phantom Lancer
11,1,1.0,63.0,41.0,100.0,36.0,204.0,E,13,0.4535674793624468,Blink Dagger,0.279175859360943,Power Treads,0.17720361399144813,Bottle,0.21747960831898583,Eul's Scepter of Divinity,0.9618097316894809,Magic Wand,0.03927923315936932,Dagon,0.8926023295065042,Anti-Mage,Puck
12,1,232.0,214.0,1.0,108.0,41.0,92.0,W,14,0.9560625261697094,Aether Lens,0.39486749869272353,Tranquil Boots,0.21327572750046198,Blink Dagger,0.6181953776282724,Aghanim's Scepter,0.07003762809473157,Bottle,0.9339488157058154,Urn of Shadows,0.07968274525174979,Anti-Mage,Pudge
13,1,63.0,154.0,212.0,79.0,108.0,116.0,W,15,0.3645613596347276,Power Treads,0.39728689299734066,Sange and Yasha,0.6981947549702536,Ring of Aquila,0.5767258243764098,Mekansm,0.8538236047940733,Aghanim's Scepter,0.01192685086390477,Black King Bar,0.741294764123236,Anti-Mage,Razor
14,1,1.0,180.0,108.0,232.0,36.0,102.0,E,16,0.3933904101179364,Blink Dagger,0.3473296711830731,Arcane Boots,0.42296979751761643,Aghanim's Scepter,0.5482416013945017,Aether Lens,0.20061887625651242,Magic Wand,0.8916592361900931,Force Staff,0.9780093658194149,Anti-Mage,Sand King
15,1,63.0,98.0,121.0,41.0,123.0,36.0,E,17,0.4790933811321557,Power Treads,0.09380890128366559,Orchid Malevolence,0.8404536713954002,Bloodstone,0.7411685050458471,Bottle,0.6464559347438736,Linken's Sphere,0.3427574616843335,Magic Wand,0.828717830061228,Anti-Mage,Storm Spirit
16,1,63.0,1.0,116.0,172.0,164.0,141.0,W,18,0.4114978134386226,Power Treads,0.1043166713798741,Blink Dagger,0.5825231767595783,Black King Bar,0.10004665557209969,Mask of Madness,0.6962280843726362,Helm of the Dominator,0.22748392308191312,Daedalus,0.7059965680192568,Anti-Mage,Sven
17,1,1.0,108.0,63.0,41.0,180.0,247.0,E,19,0.15882910944680917,Blink Dagger,0.27751487899208416,Aghanim's Scepter,0.942776850467798,Power Treads,0.7363674222162775,Bottle,0.04006251430520302,Arcane Boots,0.2955797553714571,Moon Shard,0.10480647017319245,Anti-Mage,Tiny
18,1,63.0,36.0,102.0,212.0,180.0,187.0,W,20,0.5735346862048404,Power Treads,0.8666622415795625,Magic Wand,0.12091542349618867,Force Staff,0.3147445634661703,Ring of Aquila,0.34938324746983096,Arcane Boots,0.6110906231931792,Medallion of Courage,0.9666922454502679,Anti-Mage,Vengeful Spirit
19,1,50.0,108.0,1.0,166.0,41.0,168.0,Q,21,0.28405990197710085,Phase Boots,0.7738457554542968,Aghanim's Scepter,0.4491024914667068,Blink Dagger,0.9589075378801672,Maelstrom,0.2287871404039561,Bottle,0.2336668149204345,Desolator,0.6014989060221054,Anti-Mage,Windranger
20,1,232.0,180.0,108.0,190.0,1.0,41.0,W,22,0.22601902047455757,Aether Lens,0.2006987224690555,Arcane Boots,0.657164265844096,Aghanim's Scepter,0.0836121323159994,Veil of Discord,0.09831148412639379,Blink Dagger,0.9822759527884732,Bottle,0.15403227529014873,Anti-Mage,Zeus
21,1,50.0,141.0,152.0,149.0,36.0,185.0,Q,23,0.1732612319494431,Phase Boots,0.18340583146112166,Daedalus,0.7407408642159863,Shadow Blade,0.2549741393930298,Crystalys,0.47241322792047735,Magic Wand,0.21929950773325813,Drum of Endurance,0.731772358009659,Anti-Mage,Kunkka
22,1,100.0,108.0,50.0,232.0,41.0,1.0,E,25,0.43765675120617364,Eul's Scepter of Divinity,0.767581302183965,Aghanim's Scepter,0.7891236451832326,Phase Boots,0.698857436914948,Aether Lens,0.7470429097593315,Bottle,0.08372227845785352,Blink Dagger,0.9943819002296295,Anti-Mage,Lina
23,1,214.0,1.0,36.0,108.0,232.0,102.0,Q,26,0.7825053287340015,Tranquil Boots,0.7236159534032748,Blink Dagger,0.45881242009236445,Magic Wand,0.474354190130706,Aghanim's Scepter,0.7202492148602488,Aether Lens,0.2913478716641946,Force Staff,0.2997807805810625,Anti-Mage,Lion
24,1,180.0,108.0,1.0,36.0,232.0,110.0,E,27,0.9742703920134211,Arcane Boots,0.4553787751378664,Aghanim's Scepter,0.8307489536068298,Blink Dagger,0.452341463491604,Magic Wand,0.5272957594447705,Aether Lens,0.5854644196130849,Refresher Orb,0.9049940823602235,Anti-Mage,Shadow Shaman
25,1,1.0,63.0,116.0,36.0,214.0,102.0,Q,28,0.5281810034657582,Blink Dagger,0.20160708649028736,Power Treads,0.6401723980253148,Black King Bar,0.009349572776422121,Magic Wand,0.9679603642730747,Tranquil Boots,0.07732722416481119,Force Staff,0.31112593473599803,Anti-Mage,Slardar
26,1,1.0,180.0,36.0,110.0,231.0,108.0,E,29,0.779937741610535,Blink Dagger,0.8257680130021169,Arcane Boots,0.8523075463894739,Magic Wand,0.956982080644061,Refresher Orb,0.7656957604008723,Guardian Greaves,0.2889851276628914,Aghanim's Scepter,0.7838916405039499,Anti-Mage,Tidehunter
27,1,180.0,108.0,254.0,36.0,116.0,232.0,Q,30,0.8960715751994892,Arcane Boots,0.10036823670045558,Aghanim's Scepter,0.7889763452713445,Glimmer Cape,0.17145940544624072,Magic Wand,0.40833187982728114,Black King Bar,0.3946425170095046,Aether Lens,0.6785346320540334,Anti-Mage,Witch Doctor
28,1,214.0,108.0,79.0,92.0,102.0,36.0,W,31,0.16834892871721485,Tranquil Boots,0.0964170122409872,Aghanim's Scepter,0.9590107361589764,Mekansm,0.7913286224947508,Urn of Shadows,0.3305536648274253,Force Staff,0.9149747530051511,Magic Wand,0.7540568833064318,Anti-Mage,Lich
29,1,63.0,174.0,154.0,196.0,143.0,36.0,E,32,0.607568116137704,Power Treads,0.4097899986835355,Diffusal Blade,0.9876960037771092,Sange and Yasha,0.3309722872215405,Diffusal Blade,0.3646287559635112,Skull Basher,0.08932938727456119,Magic Wand,0.5518242408465505,Anti-Mage,Riki
30,1,1.0,178.0,116.0,108.0,214.0,180.0,Q,33,0.9778251628923177,Blink Dagger,0.10721227600170569,Soul Ring,0.5199355184416647,Black King Bar,0.7230846323368862,Aghanim's Scepter,0.5860402239185717,Tranquil Boots,0.1607289407361594,Arcane Boots,0.2698780504771835,Anti-Mage,Enigma
31,1,1.0,48.0,178.0,41.0,204.0,220.0,W,34,0.8426495051675224,Blink Dagger,0.5337018004303444,Boots of Travel,0.8699568831611985,Soul Ring,0.5073588783918653,Bottle,0.13956006166682933,Dagon,0.42738367598563587,Boots of Travel,0.20374204552934772,Anti-Mage,Tinker
32,1,63.0,152.0,166.0,212.0,50.0,158.0,Q,35,0.23880182618034962,Power Treads,0.19732578345863483,Shadow Blade,0.31302487672491,Maelstrom,0.6125107311641521,Ring of Aquila,0.3020760758287725,Phase Boots,0.4214632857377758,Mjollnir,0.5613403782243132,Anti-Mage,Sniper
33,1,108.0,79.0,63.0,36.0,180.0,231.0,E,36,0.2537311785784184,Aghanim's Scepter,0.6587642458137686,Mekansm,0.13980742968512072,Power Treads,0.29440147103290626,Magic Wand,0.6708402955208489,Arcane Boots,0.16824278706760398,Guardian Greaves,0.10105191422748283,Anti-Mage,Necrophos
34,1,108.0,180.0,110.0,36.0,65.0,48.0,W,37,0.39345873220924676,Aghanim's Scepter,0.3527817666562051,Arcane Boots,0.9090859066326031,Refresher Orb,0.5416023579084842,Magic Wand,0.7574343417835077,Hand of Midas,0.6142756941755143,Boots of Travel,0.0032443373902468764,Anti-Mage,Warlock
35,1,194.0,1.0,63.0,81.0,36.0,48.0,E,38,0.251707342831067,Necronomicon,0.7696685794443745,Blink Dagger,0.2950518905349728,Power Treads,0.07332997231581428,Vladmir's Offering,0.4269727298615609,Magic Wand,0.6580827955474312,Boots of Travel,0.6825731761537448,Anti-Mage,Beastmaster
36,1,63.0,108.0,41.0,98.0,36.0,123.0,E,39,0.5213262618281059,Power Treads,0.4579802391936272,Aghanim's Scepter,0.05440211555778596,Bottle,0.7496585844131006,Orchid Malevolence,0.8086435565509138,Magic Wand,0.8923354961700696,Linken's Sphere,0.5760717460617556,Anti-Mage,Queen of Pain
37,1,108.0,63.0,212.0,36.0,180.0,190.0,Q,40,0.7652818340665918,Aghanim's Scepter,0.4102027154863602,Power Treads,0.24841997763965507,Ring of Aquila,0.5008314431771772,Magic Wand,0.7700124485330454,Arcane Boots,0.6488222787743403,Veil of Discord,0.9138259348767475,Anti-Mage,Venomancer
38,1,63.0,172.0,81.0,1.0,108.0,141.0,Q,41,0.24203518541622426,Power Treads,0.7765419666684229,Mask of Madness,0.4496636667206809,Vladmir's Offering,0.13958949925573794,Blink Dagger,0.9334048685267302,Aghanim's Scepter,0.17271918448235368,Daedalus,0.13706190528545303,Anti-Mage,Faceless Void
39,1,63.0,1.0,151.0,168.0,127.0,116.0,E,42,0.28911523068680256,Power Treads,0.01787571778183361,Blink Dagger,0.12189484375984827,Armlet of Mordiggian,0.5613585535901822,Desolator,0.6194891457059829,Blade Mail,0.5532164655116995,Black King Bar,0.22367734021113628,Anti-Mage,Wraith King
40,1,100.0,50.0,235.0,41.0,121.0,36.0,E,43,0.04469842769400345,Eul's Scepter of Divinity,0.9996234867259062,Phase Boots,0.001652077333181845,Octarine Core,0.4061113217015402,Bottle,0.5265927684668981,Bloodstone,0.17136935950261756,Magic Wand,0.8338834883457745,Anti-Mage,Death Prophet
41,1,164.0,145.0,63.0,116.0,143.0,50.0,Q,44,0.7010667697916535,Helm of the Dominator,0.3636810944446134,Battle Fury,0.8576553389195507,Power Treads,0.26328384275419947,Black King Bar,0.06597307818702469,Skull Basher,0.6153509293508171,Phase Boots,0.20358716765426543,Anti-Mage,Phantom Assassin
42,1,108.0,180.0,36.0,232.0,79.0,231.0,Q,45,0.38122334603482166,Aghanim's Scepter,0.9778639747316317,Arcane Boots,0.4084767162330387,Magic Wand,0.9074708132225865,Aether Lens,0.419249707477215,Mekansm,0.9106671853006294,Guardian Greaves,0.42529244718525483,Anti-Mage,Pugna
43,1,168.0,1.0,63.0,116.0,41.0,50.0,W,46,0.9701284633190811,Desolator,0.7240744500391099,Blink Dagger,0.6532340820939173,Power Treads,0.3249058903682309,Black King Bar,0.3376897034099122,Bottle,0.9830495964696007,Phase Boots,0.6817078496345078,Anti-Mage,Templar Assassin
44,1,63.0,79.0,212.0,108.0,152.0,147.0,W,47,0.4826851552920025,Power Treads,0.8060339214834472,Mekansm,0.45062720736133854,Ring of Aquila,0.662157008272287,Aghanim's Scepter,0.9409273508424918,Shadow Blade,0.6567502620221479,Manta Style,0.2168897351621506,Anti-Mage,Viper
45,1,63.0,164.0,147.0,116.0,212.0,152.0,Q,48,0.16887125201057007,Power Treads,0.9260093190283033,Helm of the Dominator,0.19731772154585336,Manta Style,0.5092202716350829,Black King Bar,0.22062014723136292,Ring of Aquila,0.9672952666913074,Shadow Blade,0.006515223332698716,Anti-Mage,Luna
46,1,63.0,116.0,164.0,112.0,1.0,151.0,W,49,0.6474968069416341,Power Treads,0.761517122700139,Black King Bar,0.9686140702327316,Helm of the Dominator,0.3402665832769429,Assault Cuirass,0.1530177331344581,Blink Dagger,0.5370174969672261,Armlet of Mordiggian,0.06304668553337722,Anti-Mage,Dragon Knight
47,1,180.0,36.0,231.0,92.0,79.0,187.0,Q,50,0.7552920599362923,Arcane Boots,0.4821269220557577,Magic Wand,0.17615686523806873,Guardian Greaves,0.10657550867992938,Urn of Shadows,0.2511894495288943,Mekansm,0.31843132443753996,Medallion of Courage,0.8006480505493913,Anti-Mage,Dazzle
48,1,127.0,108.0,50.0,36.0,102.0,41.0,Q,51,0.7876132736821443,Blade Mail,0.09488351847294274,Aghanim's Scepter,0.5245440157894129,Phase Boots,0.9666936558239784,Magic Wand,0.3635944728992334,Force Staff,0.6560592327915655,Bottle,0.3139512764436151,Anti-Mage,Clockwerk
49,1,121.0,180.0,36.0,100.0,41.0,48.0,W,52,0.2733224698214126,Bloodstone,0.48881524172442237,Arcane Boots,0.22052762251054725,Magic Wand,0.9881154037589939,Eul's Scepter of Divinity,0.1756197662515795,Bottle,0.39614538214021466,Boots of Travel,0.7810286186129388,Anti-Mage,Leshrac
50,1,63.0,65.0,152.0,168.0,108.0,98.0,E,53,0.004344465361256433,Power Treads,0.9946875564166966,Hand of Midas,0.31663534761651824,Shadow Blade,0.5942055548660642,Desolator,0.19376569909538433,Aghanim's Scepter,0.4482715441150944,Orchid Malevolence,0.9166011974704112,Anti-Mage,Natures Prophet
51,1,63.0,151.0,154.0,50.0,143.0,112.0,W,54,0.17497771926122663,Power Treads,0.5114636153501558,Armlet of Mordiggian,0.5601390757894904,Sange and Yasha,0.9659218253729082,Phase Boots,0.10698443135947155,Skull Basher,0.3348150556149899,Assault Cuirass,0.7512883070414701,Anti-Mage,Lifestealer
52,1,178.0,231.0,1.0,180.0,79.0,36.0,W,55,0.5421757247930376,Soul Ring,0.7776289880164962,Guardian Greaves,0.276525379455809,Blink Dagger,0.9201963772463223,Arcane Boots,0.6785927047040592,Mekansm,0.012683737195106182,Magic Wand,0.7758674310758135,Anti-Mage,Dark Seer
53,1,63.0,98.0,212.0,168.0,135.0,116.0,E,56,0.5164074563670061,Power Treads,0.8775822465529223,Orchid Malevolence,0.9650080749585787,Ring of Aquila,0.7614740360743691,Desolator,0.8403770935573395,Monkey King Bar,0.38923585952831186,Black King Bar,0.8644213839389893,Anti-Mage,Clinkz
54,1,180.0,178.0,108.0,36.0,231.0,79.0,W,57,0.9540170983001701,Arcane Boots,0.0031230200495764304,Soul Ring,0.11412798748548358,Aghanim's Scepter,0.6369116524349125,Magic Wand,0.15600337513416207,Guardian Greaves,0.9796642800863704,Mekansm,0.5004064240308634,Anti-Mage,Omniknight
55,1,236.0,108.0,63.0,65.0,92.0,50.0,Q,58,0.5254356293022118,Dragon Lance,0.4603653740595246,Aghanim's Scepter,0.7181357901620398,Power Treads,0.06381660207589668,Hand of Midas,0.7184049634512863,Urn of Shadows,0.9405634746068576,Phase Boots,0.9113204152399388,Anti-Mage,Enchantress
56,1,63.0,151.0,164.0,92.0,116.0,156.0,Q,59,0.5517348679561059,Power Treads,0.5835087880431252,Armlet of Mordiggian,0.8828543881925195,Helm of the Dominator,0.9481677944363509,Urn of Shadows,0.635822346237123,Black King Bar,0.2407997572333639,Satanic,0.9818185429560508,Anti-Mage,Huskar
57,1,50.0,92.0,108.0,116.0,63.0,125.0,Q,60,0.8024671950949289,Phase Boots,0.3214749781805867,Urn of Shadows,0.21696873197847555,Aghanim's Scepter,0.09232963636064961,Black King Bar,0.8764593785168368,Power Treads,0.5824627690617546,Vanguard,0.40544962751058544,Anti-Mage,Night Stalker
58,1,178.0,63.0,98.0,81.0,116.0,48.0,W,61,0.8249962415864132,Soul Ring,0.6805381234958124,Power Treads,0.5195804089421856,Orchid Malevolence,0.3209833052850024,Vladmir's Offering,0.9579731367686846,Black King Bar,0.508058661525423,Boots of Travel,0.9917006792498048,Anti-Mage,Broodmother
59,1,50.0,92.0,168.0,231.0,180.0,204.0,E,62,0.4912417923179394,Phase Boots,0.842051156461808,Urn of Shadows,0.602476323188841,Desolator,0.5978281706393107,Guardian Greaves,0.058364922319297574,Arcane Boots,0.8718942904720869,Dagon,0.7042678830798244,Anti-Mage,Bounty Hunter
60,1,63.0,123.0,168.0,212.0,135.0,36.0,W,63,0.5472717660110746,Power Treads,0.5186359174845906,Linken's Sphere,0.18593087286327836,Desolator,0.3307127451098879,Ring of Aquila,0.06386548931122249,Monkey King Bar,0.22188178911783873,Magic Wand,0.23987987036062075,Anti-Mage,Weaver
61,1,180.0,36.0,100.0,102.0,79.0,108.0,W,64,0.139701887846855,Arcane Boots,0.4223091774388005,Magic Wand,0.36053136324918056,Eul's Scepter of Divinity,0.9103307439824239,Force Staff,0.19833932765131335,Mekansm,0.32453725579254833,Aghanim's Scepter,0.7892521861710805,Anti-Mage,Jakiro
62,1,1.0,102.0,214.0,36.0,48.0,116.0,Q,65,0.13235800783063778,Blink Dagger,0.9674332869340707,Force Staff,0.9722117467819448,Tranquil Boots,0.4327162591836423,Magic Wand,0.3057849990979511,Boots of Travel,0.983988245267979,Black King Bar,0.06779612096538723,Anti-Mage,Batrider
63,1,108.0,180.0,79.0,231.0,81.0,194.0,E,66,0.09307504241711251,Aghanim's Scepter,0.8077962938694276,Arcane Boots,0.1046392042169032,Mekansm,0.6060696438594755,Guardian Greaves,0.6941276275594136,Vladmir's Offering,0.5795066221192187,Necronomicon,0.35901750297325086,Anti-Mage,Chen
64,1,137.0,50.0,125.0,147.0,63.0,174.0,E,67,0.20811815960554036,Radiance,0.4336197095996266,Phase Boots,0.5687404951268408,Vanguard,0.6764680280596366,Manta Style,0.14880281813628615,Power Treads,0.05168894793612111,Diffusal Blade,0.06036181936304841,Anti-Mage,Spectre
65,1,108.0,65.0,180.0,36.0,100.0,92.0,E,68,0.6672900695921544,Aghanim's Scepter,0.15739674309162133,Hand of Midas,0.35165796186151255,Arcane Boots,0.15767320271881113,Magic Wand,0.508279144021766,Eul's Scepter of Divinity,0.7822173837722414,Urn of Shadows,0.9571379494802593,Anti-Mage,Ancient Apparition
66,1,50.0,1.0,108.0,81.0,152.0,185.0,W,69,0.6732545184597013,Phase Boots,0.014420436920493107,Blink Dagger,0.11178702763503745,Aghanim's Scepter,0.17056940483507965,Vladmir's Offering,0.36334764075501025,Shadow Blade,0.8139001992702803,Drum of Endurance,0.1690357688584354,Anti-Mage,Doom
67,1,50.0,1.0,81.0,116.0,143.0,208.0,E,70,0.019072806751167737,Phase Boots,0.11246531998697074,Blink Dagger,0.6810411865016512,Vladmir's Offering,0.05518944966418837,Black King Bar,0.4404238553774503,Skull Basher,0.07008197087256451,Abyssal Blade,0.5757870430521475,Anti-Mage,Ursa
68,1,63.0,92.0,116.0,127.0,172.0,36.0,Q,71,0.4453270549550312,Power Treads,0.8742362745712026,Urn of Shadows,0.6329562879290117,Black King Bar,0.8045629572099872,Blade Mail,0.7097517319340464,Mask of Madness,0.7690226889095212,Magic Wand,0.1736435085151803,Anti-Mage,Spirit Breaker
69,1,50.0,164.0,116.0,212.0,154.0,135.0,W,72,0.2231822897682778,Phase Boots,0.36876625294725784,Helm of the Dominator,0.6195286316878597,Black King Bar,0.18115804747428277,Ring of Aquila,0.7466635588692324,Sange and Yasha,0.8966766465591223,Monkey King Bar,0.7649249226953632,Anti-Mage,Gyrocopter
70,1,137.0,48.0,147.0,112.0,235.0,41.0,W,73,0.22540945971298987,Radiance,0.27560366542624337,Boots of Travel,0.8487127519429396,Manta Style,0.6444370503454222,Assault Cuirass,0.8916411343684383,Octarine Core,0.4479660590038569,Bottle,0.19005451510874616,Anti-Mage,Alchemist
71,1,108.0,50.0,100.0,65.0,1.0,48.0,W,74,0.5381897111400534,Aghanim's Scepter,0.6541039452567697,Phase Boots,0.694965938213858,Eul's Scepter of Divinity,0.09015616427996964,Hand of Midas,0.017213672740873598,Blink Dagger,0.8324613178506428,Boots of Travel,0.7603263533679719,Anti-Mage,Invoker
72,1,63.0,102.0,36.0,79.0,206.0,108.0,Q,75,0.5128763894694991,Power Treads,0.3021008882182792,Force Staff,0.8105898428431351,Magic Wand,0.1078753785063441,Mekansm,0.3328588787563803,Rod of Atos,0.2812590353319411,Aghanim's Scepter,0.45997916905792535,Anti-Mage,Silencer
73,1,63.0,102.0,116.0,206.0,1.0,96.0,Q,76,0.16063842127557693,Power Treads,0.3301729327081864,Force Staff,0.07337053227205281,Black King Bar,0.03345216830777975,Rod of Atos,0.677250076562654,Blink Dagger,0.36175087043902565,Scythe of Vyse,0.701239057888678,Anti-Mage,Outworld Devourer
74,1,81.0,63.0,116.0,194.0,143.0,168.0,Q,77,0.8753167125302682,Vladmir's Offering,0.9104845293169829,Power Treads,0.5341573866555825,Black King Bar,0.4037391615995527,Necronomicon,0.04640607968517951,Skull Basher,0.3611658642174418,Desolator,0.770427192858695,Anti-Mage,Lycan
75,1,1.0,50.0,108.0,81.0,185.0,36.0,W,78,0.5499251883278693,Blink Dagger,0.016253012665418676,Phase Boots,0.8113868252204989,Aghanim's Scepter,0.04645207480326663,Vladmir's Offering,0.6428739947677339,Drum of Endurance,0.8573200280740942,Magic Wand,0.4172826864087924,Anti-Mage,Brewmaster
76,1,180.0,102.0,36.0,108.0,100.0,232.0,W,79,0.4414620713049756,Arcane Boots,0.40724541966727124,Force Staff,0.3171622867879559,Magic Wand,0.45932781828929337,Aghanim's Scepter,0.26444338608066487,Eul's Scepter of Divinity,0.4590678319784105,Aether Lens,0.5094434920919926,Anti-Mage,Shadow Demon
77,1,214.0,108.0,81.0,65.0,48.0,50.0,Q,80,0.35805195071042184,Tranquil Boots,0.46284524159845375,Aghanim's Scepter,0.9344886766522232,Vladmir's Offering,0.32241814788945045,Hand of Midas,0.9729036225459473,Boots of Travel,0.7249763836752775,Phase Boots,0.8811813232425161,Anti-Mage,Lone Druid
78,1,63.0,151.0,147.0,185.0,164.0,154.0,Q,81,0.6378664728967695,Power Treads,0.5833539460124539,Armlet of Mordiggian,0.1579898432205762,Manta Style,0.7345443693694914,Drum of Endurance,0.9351791126525579,Helm of the Dominator,0.18870575713426407,Sange and Yasha,0.12157473388749229,Anti-Mage,Chaos Knight
79,1,108.0,1.0,63.0,48.0,81.0,79.0,Q,82,0.08906658396730127,Aghanim's Scepter,0.016790281610037816,Blink Dagger,0.047698854274820124,Power Treads,0.18509182075162267,Boots of Travel,0.49698788301466157,Vladmir's Offering,0.37306225260647363,Mekansm,0.10933024683180537,Anti-Mage,Meepo
80,1,180.0,108.0,1.0,36.0,231.0,185.0,E,83,0.8832672539776556,Arcane Boots,0.9779414626111006,Aghanim's Scepter,0.46913513448928235,Blink Dagger,0.12253734027099938,Magic Wand,0.7803092238639067,Guardian Greaves,0.024684479802690507,Drum of Endurance,0.5292821933774651,Anti-Mage,Treant Protector
81,1,180.0,108.0,36.0,102.0,232.0,178.0,E,84,0.8564745769006661,Arcane Boots,0.0700901383262692,Aghanim's Scepter,0.35824868279369293,Magic Wand,0.526104488626738,Force Staff,0.14595522375558923,Aether Lens,0.19408471023905993,Soul Ring,0.643829292776048,Anti-Mage,Ogre Magi
82,1,180.0,36.0,127.0,242.0,108.0,231.0,Q,85,0.6282066322275175,Arcane Boots,0.7229653430397491,Magic Wand,0.4041002287934825,Blade Mail,0.33448326233819126,Crimson Guard,0.45395026125970783,Aghanim's Scepter,0.34874355470278773,Guardian Greaves,0.039682508776029635,Anti-Mage,Undying
83,1,180.0,1.0,36.0,102.0,108.0,232.0,E,86,0.9433731895363276,Arcane Boots,0.009158282914244142,Blink Dagger,0.8459144685091279,Magic Wand,0.6497562531630957,Force Staff,0.6837764309658676,Aghanim's Scepter,0.00823711220951795,Aether Lens,0.5032920561854363,Anti-Mage,Rubick
84,1,180.0,36.0,108.0,102.0,79.0,231.0,W,87,0.16842087177485754,Arcane Boots,0.2947167466287368,Magic Wand,0.12022782287757505,Aghanim's Scepter,0.7682810594961561,Force Staff,0.4994503216593792,Mekansm,0.8647635680878469,Guardian Greaves,0.7539737438816744,Anti-Mage,Disruptor
85,1,180.0,204.0,1.0,108.0,36.0,92.0,E,88,0.6603091518289059,Arcane Boots,0.4105857508804267,Dagon,0.47376305859126355,Blink Dagger,0.183141542121262,Aghanim's Scepter,0.5071282893025985,Magic Wand,0.08854368266988533,Urn of Shadows,0.04625762277692114,Anti-Mage,Nyx
86,1,137.0,63.0,212.0,174.0,147.0,48.0,W,89,0.5355325094889251,Radiance,0.7090769446621975,Power Treads,0.5901050002651279,Ring of Aquila,0.354157921449924,Diffusal Blade,0.9120847397012232,Manta Style,0.7586056500363252,Boots of Travel,0.4683203682510436,Anti-Mage,Naga Siren
87,1,214.0,108.0,79.0,102.0,36.0,48.0,Q,90,0.7339005809411875,Tranquil Boots,0.14810302695939725,Aghanim's Scepter,0.07596285202889219,Mekansm,0.9707470942925882,Force Staff,0.4377413626844907,Magic Wand,0.014357363831531078,Boots of Travel,0.8332297586490683,Anti-Mage,Keeper of the Light
