name,skillname,skillurl
Timbersaw,Whirling Death,/static/shredder_whirling_death_hp1.png
Timbersaw,Timber Chain,/static/shredder_timber_chain_hp1.png
Timbersaw,Reactive Armor,/static/shredder_reactive_armor_hp1.png
Bristleback,Viscous Nasal Goo,/static/bristleback_viscous_nasal_goo_hp1.png
Bristleback,Quill Spray,/static/bristleback_quill_spray_hp1.png
Bristleback,Bristleback,/static/bristleback_bristleback_hp1.png
Tusk,Ice Shards,/static/tusk_ice_shards_hp1.png
Tusk,Snowball,/static/tusk_snowball_hp1.png
Tusk,Frozen Sigil,/static/tusk_frozen_sigil_hp1.png
Elder Titan,Echo Stomp,/static/elder_titan_echo_stomp_hp1.png
Elder Titan,Astral Spirit,/static/elder_titan_ancestral_spirit_hp1.png
Elder Titan,Natural Order,/static/elder_titan_natural_order_hp1.png
Legion Commander,Overwhelming Odds,/static/legion_commander_overwhelming_odds_hp1.png
Legion Commander,Press The Attack,/static/legion_commander_press_the_attack_hp1.png
Legion Commander,Moment of Courage,/static/legion_commander_moment_of_courage_hp1.png
Earth Spirit,Boulder Smash,/static/earth_spirit_boulder_smash_hp1.png
Earth Spirit,Rolling Boulder,/static/earth_spirit_rolling_boulder_hp1.png
Earth Spirit,Geomagnetic Grip,/static/earth_spirit_geomagnetic_grip_hp1.png
Phoenix,Icarus Dive,/static/phoenix_icarus_dive_hp1.png
Phoenix,Fire Spirits,/static/phoenix_fire_spirits_hp1.png
Phoenix,Sun Ray,/static/phoenix_sun_ray_hp1.png
Anti-Mage,Mana Break,/static/antimage_mana_break_hp1.png
Anti-Mage,Blink,/static/antimage_blink_hp1.png
Anti-Mage,Spell Shield,/static/antimage_spell_shield_hp1.png
Drow Ranger,Frost Arrows,/static/drow_ranger_frost_arrows_hp1.png
Drow Ranger,Gust,/static/drow_ranger_wave_of_silence_hp1.png
Drow Ranger,Precision Aura,/static/drow_ranger_trueshot_hp1.png
Juggernaut,Blade Fury,/static/juggernaut_blade_fury_hp1.png
Juggernaut,Healing Ward,/static/juggernaut_healing_ward_hp1.png
Juggernaut,Blade Dance,/static/juggernaut_blade_dance_hp1.png
Mirana,Starstorm,/static/mirana_starfall_hp1.png
Mirana,Sacred Arrow,/static/mirana_arrow_hp1.png
Mirana,Leap,/static/mirana_leap_hp1.png
Morphling,Waveform,/static/morphling_waveform_hp1.png
Morphling,Adaptive Strike,/static/morphling_adaptive_strike_hp1.png
Morphling,Morph (Agility Gain),/static/morphling_morph_agi_hp1.png
Phantom Lancer,Spirit Lance,/static/phantom_lancer_spirit_lance_hp1.png
Phantom Lancer,Doppelganger,/static/phantom_lancer_doppelwalk_hp1.png
Phantom Lancer,Phantom Rush,/static/phantom_lancer_phantom_edge_hp1.png
Vengeful Spirit,Magic Missile,/static/vengefulspirit_magic_missile_hp1.png
Vengeful Spirit,Wave of Terror,/static/vengefulspirit_wave_of_terror_hp1.png
Vengeful Spirit,Vengeance Aura,/static/vengefulspirit_command_aura_hp1.png
Riki,Smoke Screen,/static/riki_smoke_screen_hp1.png
Riki,Blink Strike,/static/riki_blink_strike_hp1.png
Riki,Cloak and Dagger,/static/riki_permanent_invisibility_hp1.png
Sniper,Shrapnel,/static/sniper_shrapnel_hp1.png
Sniper,Headshot,/static/sniper_headshot_hp1.png
Sniper,Take Aim,/static/sniper_take_aim_hp1.png
Templar Assassin,Refraction,/static/templar_assassin_refraction_hp1.png
Templar Assassin,Meld,/static/templar_assassin_meld_hp1.png
Templar Assassin,Psi Blades,/static/templar_assassin_psi_blades_hp1.png
Luna,Lucent Beam,/static/luna_lucent_beam_hp1.png
Luna,Moon Glaive,/static/luna_moon_glaive_hp1.png
Luna,Lunar Blessing,/static/luna_lunar_blessing_hp1.png
Bounty Hunter,Shuriken Toss,/static/bounty_hunter_shuriken_toss_hp1.png
Bounty Hunter,Jinada,/static/bounty_hunter_jinada_hp1.png
Bounty Hunter,Shadow Walk,/static/bounty_hunter_wind_walk_hp1.png
Ursa,Earthshock,/static/ursa_earthshock_hp1.png
Ursa,Overpower,/static/ursa_overpower_hp1.png
Ursa,Fury Swipes,/static/ursa_fury_swipes_hp1.png
Gyrocopter,Rocket Barrage,/static/gyrocopter_rocket_barrage_hp1.png
Gyrocopter,Homing Missile,/static/gyrocopter_homing_missile_hp1.png
Gyrocopter,Flak Cannon,/static/gyrocopter_flak_cannon_hp1.png
Lone Druid,Summon Spirit Bear,/static/lone_druid_spirit_bear_hp1.png
Lone Druid,Rabid,/static/lone_druid_rabid_hp1.png
Lone Druid,Savage Roar,/static/lone_druid_savage_roar_hp1.png
Naga Siren,Mirror Image,/static/naga_siren_mirror_image_hp1.png
Naga Siren,Ensnare,/static/naga_siren_ensnare_hp1.png
Naga Siren,Rip Tide,/static/naga_siren_rip_tide_hp1.png
Troll Warlord,Berserker's Rage,/static/troll_warlord_berserkers_rage_hp1.png
Troll Warlord,Whirling Axes (Ranged),/static/troll_warlord_whirling_axes_ranged_hp1.png
Troll Warlord,Whirling Axes (Melee),/static/troll_warlord_whirling_axes_melee_hp1.png
Ember Spirit,Searing Chains,/static/ember_spirit_searing_chains_hp1.png
Ember Spirit,Sleight of Fist,/static/ember_spirit_sleight_of_fist_hp1.png
Ember Spirit,Flame Guard,/static/ember_spirit_flame_guard_hp1.png
Crystal Maiden,Crystal Nova,/static/crystal_maiden_crystal_nova_hp1.png
Crystal Maiden,Frostbite,/static/crystal_maiden_frostbite_hp1.png
Crystal Maiden,Arcane Aura,/static/crystal_maiden_brilliance_aura_hp1.png
Puck,Illusory Orb,/static/puck_illusory_orb_hp1.png
Puck,Waning Rift,/static/puck_waning_rift_hp1.png
Puck,Phase Shift,/static/puck_phase_shift_hp1.png
Storm Spirit,Static Remnant,/static/storm_spirit_static_remnant_hp1.png
Storm Spirit,Electric Vortex,/static/storm_spirit_electric_vortex_hp1.png
Storm Spirit,Overload,/static/storm_spirit_overload_hp1.png
Windranger,Shackleshot,/static/windrunner_shackleshot_hp1.png
Windranger,Powershot,/static/windrunner_powershot_hp1.png
Windranger,Windrun,/static/windrunner_windrun_hp1.png
Zeus,Arc Lightning,/static/zuus_arc_lightning_hp1.png
Zeus,Lightning Bolt,/static/zuus_lightning_bolt_hp1.png
Zeus,Static Field,/static/zuus_static_field_hp1.png
Lina,Dragon Slave,/static/lina_dragon_slave_hp1.png
Lina,Light Strike Array,/static/lina_light_strike_array_hp1.png
Lina,Fiery Soul,/static/lina_fiery_soul_hp1.png
Shadow Shaman,Ether Shock,/static/shadow_shaman_ether_shock_hp1.png
Shadow Shaman,Hex,/static/shadow_shaman_voodoo_hp1.png
Shadow Shaman,Shackles,/static/shadow_shaman_shackles_hp1.png
Tinker,Laser,/static/tinker_laser_hp1.png
Tinker,Heat-Seeking Missile,/static/tinker_heat_seeking_missile_hp1.png
Tinker,March of the Machines,/static/tinker_march_of_the_machines_hp1.png
Nature's Prophet,Sprout,/static/furion_sprout_hp1.png
Nature's Prophet,Teleportation,/static/furion_teleportation_hp1.png
Nature's Prophet,Nature's Call,/static/furion_force_of_nature_hp1.png
Enchantress,Untouchable,/static/enchantress_untouchable_hp1.png
Enchantress,Enchant,/static/enchantress_enchant_hp1.png
Enchantress,Nature's Attendants,/static/enchantress_natures_attendants_hp1.png
Jakiro,Dual Breath,/static/jakiro_dual_breath_hp1.png
Jakiro,Ice Path,/static/jakiro_ice_path_hp1.png
Jakiro,Liquid Fire,/static/jakiro_liquid_fire_hp1.png
Chen,Penitence,/static/chen_penitence_hp1.png
Chen,Test of Faith,/static/chen_test_of_faith_hp1.png
Chen,Test of Faith,/static/chen_test_of_faith_teleport_hp1.png
Silencer,Arcane Curse,/static/silencer_curse_of_the_silent_hp1.png
Silencer,Glaives of Wisdom,/static/silencer_glaives_of_wisdom_hp1.png
Silencer,Last Word,/static/silencer_last_word_hp1.png
Ogre Magi,Fireblast,/static/ogre_magi_fireblast_hp1.png
Ogre Magi,Ignite,/static/ogre_magi_ignite_hp1.png
Ogre Magi,Bloodlust,/static/ogre_magi_bloodlust_hp1.png
Rubick,Telekinesis,/static/rubick_telekinesis_hp1.png
Rubick,Telekinesis Land,/static/rubick_telekinesis_land_hp1.png
Rubick,Fade Bolt,/static/rubick_fade_bolt_hp1.png
Disruptor,Thunder Strike,/static/disruptor_thunder_strike_hp1.png
Disruptor,Glimpse,/static/disruptor_glimpse_hp1.png
Disruptor,Kinetic Field,/static/disruptor_kinetic_field_hp1.png
Keeper of the Light,Illuminate,/static/keeper_of_the_light_illuminate_hp1.png
Keeper of the Light,Mana Leak,/static/keeper_of_the_light_mana_leak_hp1.png
Keeper of the Light,Chakra Magic,/static/keeper_of_the_light_chakra_magic_hp1.png
Skywrath Mage,Arcane Bolt,/static/skywrath_mage_arcane_bolt_hp1.png
Skywrath Mage,Concussive Shot,/static/skywrath_mage_concussive_shot_hp1.png
Skywrath Mage,Ancient Seal,/static/skywrath_mage_ancient_seal_hp1.png
Oracle,Fortune's End,/static/oracle_fortunes_end_hp1.png
Oracle,Fate's Edict,/static/oracle_fates_edict_hp1.png
Oracle,Purifying Flames,/static/oracle_purifying_flames_hp1.png
Techies,Land Mines,/static/techies_land_mines_hp1.png
Techies,Stasis Trap,/static/techies_stasis_trap_hp1.png
Techies,"Suicide Squad, Attack!",/static/techies_suicide_hp1.png
Axe,Berserker's Call,/static/axe_berserkers_call_hp1.png
Axe,Battle Hunger,/static/axe_battle_hunger_hp1.png
Axe,Counter Helix,/static/axe_counter_helix_hp1.png
Pudge,Meat Hook,/static/pudge_meat_hook_hp1.png
Pudge,Rot,/static/pudge_rot_hp1.png
Pudge,Flesh Heap,/static/pudge_flesh_heap_hp1.png
Sand King,Burrowstrike,/static/sandking_burrowstrike_hp1.png
Sand King,Sand Storm,/static/sandking_sand_storm_hp1.png
Sand King,Caustic Finale,/static/sandking_caustic_finale_hp1.png
Slardar,Sprint,/static/slardar_sprint_hp1.png
Slardar,Slithereen Crush,/static/slardar_slithereen_crush_hp1.png
Slardar,Bash,/static/slardar_bash_hp1.png
Tidehunter,Gush,/static/tidehunter_gush_hp1.png
Tidehunter,Kraken Shell,/static/tidehunter_kraken_shell_hp1.png
Tidehunter,Anchor Smash,/static/tidehunter_anchor_smash_hp1.png
Wraith King,Wraithfire Blast,/static/skeleton_king_hellfire_blast_hp1.png
Wraith King,Vampiric Aura,/static/skeleton_king_vampiric_aura_hp1.png
Wraith King,Mortal Strike,/static/skeleton_king_mortal_strike_hp1.png
Lifestealer,Rage,/static/life_stealer_rage_hp1.png
Lifestealer,Feast,/static/life_stealer_feast_hp1.png
Lifestealer,Open Wounds,/static/life_stealer_open_wounds_hp1.png
Night Stalker,Void,/static/night_stalker_void_hp1.png
Night Stalker,Crippling Fear,/static/night_stalker_crippling_fear_hp1.png
Night Stalker,Hunter in the Night,/static/night_stalker_hunter_in_the_night_hp1.png
Doom,Devour,/static/doom_bringer_devour_hp1.png
Doom,Scorched Earth,/static/doom_bringer_scorched_earth_hp1.png
Doom,Infernal Blade,/static/doom_bringer_infernal_blade_hp1.png
Spirit Breaker,Charge of Darkness,/static/spirit_breaker_charge_of_darkness_hp1.png
Spirit Breaker,Empowering Haste,/static/spirit_breaker_empowering_haste_hp1.png
Spirit Breaker,Greater Bash,/static/spirit_breaker_greater_bash_hp1.png
Lycan,Summon Wolves,/static/lycan_summon_wolves_hp1.png
Lycan,Howl,/static/lycan_howl_hp1.png
Lycan,Feral Impulse,/static/lycan_feral_impulse_hp1.png
Chaos Knight,Chaos Bolt,/static/chaos_knight_chaos_bolt_hp1.png
Chaos Knight,Reality Rift,/static/chaos_knight_reality_rift_hp1.png
Chaos Knight,Chaos Strike,/static/chaos_knight_chaos_strike_hp1.png
Undying,Decay,/static/undying_decay_hp1.png
Undying,Soul Rip,/static/undying_soul_rip_hp1.png
Undying,Tombstone,/static/undying_tombstone_hp1.png
Magnus,Shockwave,/static/magnataur_shockwave_hp1.png
Magnus,Empower,/static/magnataur_empower_hp1.png
Magnus,Skewer,/static/magnataur_skewer_hp1.png
Abaddon,Mist Coil,/static/abaddon_death_coil_hp1.png
Abaddon,Aphotic Shield,/static/abaddon_aphotic_shield_hp1.png
Abaddon,Curse of Avernus,/static/abaddon_frostmourne_hp1.png
Bloodseeker,Bloodrage,/static/bloodseeker_bloodrage_hp1.png
Bloodseeker,Blood Rite,/static/bloodseeker_blood_bath_hp1.png
Bloodseeker,Thirst,/static/bloodseeker_thirst_hp1.png
Shadow Fiend,Shadowraze,/static/nevermore_shadowraze1_hp1.png
Shadow Fiend,Necromastery,/static/nevermore_necromastery_hp1.png
Shadow Fiend,Presence of the Dark Lord,/static/nevermore_dark_lord_hp1.png
Razor,Plasma Field,/static/razor_plasma_field_hp1.png
Razor,Static Link,/static/razor_static_link_hp1.png
Razor,Unstable Current,/static/razor_unstable_current_hp1.png
Venomancer,Venomous Gale,/static/venomancer_venomous_gale_hp1.png
Venomancer,Poison Sting,/static/venomancer_poison_sting_hp1.png
Venomancer,Plague Ward,/static/venomancer_plague_ward_hp1.png
Faceless Void,Time Walk,/static/faceless_void_time_walk_hp1.png
Faceless Void,Time Dilation,/static/faceless_void_time_dilation_hp1.png
Faceless Void,Time Lock,/static/faceless_void_time_lock_hp1.png
Phantom Assassin,Stifling Dagger,/static/phantom_assassin_stifling_dagger_hp1.png
Phantom Assassin,Phantom Strike,/static/phantom_assassin_phantom_strike_hp1.png
Phantom Assassin,Blur,/static/phantom_assassin_blur_hp1.png
Viper,Poison Attack,/static/viper_poison_attack_hp1.png
Viper,Nethertoxin,/static/viper_nethertoxin_hp1.png
Viper,Corrosive Skin,/static/viper_corrosive_skin_hp1.png
Clinkz,Strafe,/static/clinkz_strafe_hp1.png
Clinkz,Searing Arrows,/static/clinkz_searing_arrows_hp1.png
Clinkz,Skeleton Walk,/static/clinkz_wind_walk_hp1.png
Broodmother,Spawn Spiderlings,/static/broodmother_spawn_spiderlings_hp1.png
Broodmother,Spin Web,/static/broodmother_spin_web_hp1.png
Broodmother,Incapacitating Bite,/static/broodmother_incapacitating_bite_hp1.png
Weaver,The Swarm,/static/weaver_the_swarm_hp1.png
Weaver,Shukuchi,/static/weaver_shukuchi_hp1.png
Weaver,Geminate Attack,/static/weaver_geminate_attack_hp1.png
Spectre,Spectral Dagger,/static/spectre_spectral_dagger_hp1.png
Spectre,Desolate,/static/spectre_desolate_hp1.png
Spectre,Dispersion,/static/spectre_dispersion_hp1.png
Meepo,Earthbind,/static/meepo_earthbind_hp1.png
Meepo,Poof,/static/meepo_poof_hp1.png
Meepo,Geostrike,/static/meepo_geostrike_hp1.png
Nyx Assassin,Impale,/static/nyx_assassin_impale_hp1.png
Nyx Assassin,Mana Burn,/static/nyx_assassin_mana_burn_hp1.png
Nyx Assassin,Spiked Carapace,/static/nyx_assassin_spiked_carapace_hp1.png
Slark,Dark Pact,/static/slark_dark_pact_hp1.png
Slark,Pounce,/static/slark_pounce_hp1.png
Slark,Essence Shift,/static/slark_essence_shift_hp1.png
Medusa,Split Shot,/static/medusa_split_shot_hp1.png
Medusa,Mystic Snake,/static/medusa_mystic_snake_hp1.png
Medusa,Mana Shield,/static/medusa_mana_shield_hp1.png
Terrorblade,Reflection,/static/terrorblade_reflection_hp1.png
Terrorblade,Conjure Image,/static/terrorblade_conjure_image_hp1.png
Terrorblade,Metamorphosis,/static/terrorblade_metamorphosis_hp1.png
Arc Warden,Flux,/static/arc_warden_flux_hp1.png
Arc Warden,Magnetic Field,/static/arc_warden_magnetic_field_hp1.png
Arc Warden,Spark Wraith,/static/arc_warden_spark_wraith_hp1.png
Bane,Enfeeble,/static/bane_enfeeble_hp1.png
Bane,Brain Sap,/static/bane_brain_sap_hp1.png
Bane,Nightmare,/static/bane_nightmare_hp1.png
Lich,Frost Blast,/static/lich_frost_nova_hp1.png
Lich,Ice Armor,/static/lich_frost_armor_hp1.png
Lich,Sacrifice,/static/lich_dark_ritual_hp1.png
Lion,Earth Spike,/static/lion_impale_hp1.png
Lion,Hex,/static/lion_voodoo_hp1.png
Lion,Mana Drain,/static/lion_mana_drain_hp1.png
Witch Doctor,Paralyzing Cask,/static/witch_doctor_paralyzing_cask_hp1.png
Witch Doctor,Voodoo Restoration,/static/witch_doctor_voodoo_restoration_hp1.png
Witch Doctor,Maledict,/static/witch_doctor_maledict_hp1.png
Enigma,Malefice,/static/enigma_malefice_hp1.png
Enigma,Demonic Conversion,/static/enigma_demonic_conversion_hp1.png
Enigma,Midnight Pulse,/static/enigma_midnight_pulse_hp1.png
Necrophos,Death Pulse,/static/necrolyte_death_pulse_hp1.png
Necrophos,Heartstopper Aura,/static/necrolyte_heartstopper_aura_hp1.png
Necrophos,Sadist,/static/necrolyte_sadist_hp1.png
Warlock,Fatal Bonds,/static/warlock_fatal_bonds_hp1.png
Warlock,Shadow Word,/static/warlock_shadow_word_hp1.png
Warlock,Upheaval,/static/warlock_upheaval_hp1.png
Queen of Pain,Shadow Strike,/static/queenofpain_shadow_strike_hp1.png
Queen of Pain,Blink,/static/queenofpain_blink_hp1.png
Queen of Pain,Scream Of Pain,/static/queenofpain_scream_of_pain_hp1.png
Death Prophet,Crypt Swarm,/static/death_prophet_carrion_swarm_hp1.png
Death Prophet,Silence,/static/death_prophet_silence_hp1.png
Death Prophet,Spirit Siphon,/static/death_prophet_spirit_siphon_hp1.png
Pugna,Nether Blast,/static/pugna_nether_blast_hp1.png
Pugna,Decrepify,/static/pugna_decrepify_hp1.png
Pugna,Nether Ward,/static/pugna_nether_ward_hp1.png
Dazzle,Poison Touch,/static/dazzle_poison_touch_hp1.png
Dazzle,Shallow Grave,/static/dazzle_shallow_grave_hp1.png
Dazzle,Shadow Wave,/static/dazzle_shadow_wave_hp1.png
Leshrac,Split Earth,/static/leshrac_split_earth_hp1.png
Leshrac,Diabolic Edict,/static/leshrac_diabolic_edict_hp1.png
Leshrac,Lightning Storm,/static/leshrac_lightning_storm_hp1.png
Dark Seer,Vacuum,/static/dark_seer_vacuum_hp1.png
Dark Seer,Ion Shell,/static/dark_seer_ion_shell_hp1.png
Dark Seer,Surge,/static/dark_seer_surge_hp1.png
Batrider,Sticky Napalm,/static/batrider_sticky_napalm_hp1.png
Batrider,Flamebreak,/static/batrider_flamebreak_hp1.png
Batrider,Firefly,/static/batrider_firefly_hp1.png
Ancient Apparition,Cold Feet,/static/ancient_apparition_cold_feet_hp1.png
Ancient Apparition,Ice Vortex,/static/ancient_apparition_ice_vortex_hp1.png
Ancient Apparition,Chilling Touch,/static/ancient_apparition_chilling_touch_hp1.png
Invoker,Quas,/static/invoker_quas_hp1.png
Invoker,Wex,/static/invoker_wex_hp1.png
Invoker,Exort,/static/invoker_exort_hp1.png
Outworld Devourer,Arcane Orb,/static/obsidian_destroyer_arcane_orb_hp1.png
Outworld Devourer,Astral Imprisonment,/static/obsidian_destroyer_astral_imprisonment_hp1.png
Outworld Devourer,Essence Aura,/static/obsidian_destroyer_essence_aura_hp1.png
Shadow Demon,Disruption,/static/shadow_demon_disruption_hp1.png
Shadow Demon,Soul Catcher,/static/shadow_demon_soul_catcher_hp1.png
Shadow Demon,Shadow Poison,/static/shadow_demon_shadow_poison_hp1.png
Visage,Grave Chill,/static/visage_grave_chill_hp1.png
Visage,Soul Assumption,/static/visage_soul_assumption_hp1.png
Visage,Gravekeeper's Cloak,/static/visage_gravekeepers_cloak_hp1.png
Winter Wyvern,Arctic Burn,/static/winter_wyvern_arctic_burn_hp1.png
Winter Wyvern,Splinter Blast,/static/winter_wyvern_splinter_blast_hp1.png
Winter Wyvern,Cold Embrace,/static/winter_wyvern_cold_embrace_hp1.png
