,cost,id,localized_name,name,recipe,url_image,upgrade1,upgrade2
43,200,43,Sentry Ward,item_ward_sentry,0,/static/ward_sentry_lg.png,0,0
217,0,217,Recipe: Observer and Sentry Wards,item_recipe_ward_dispenser,1,/static/recipe_ward_dispenser_lg.png,0,0
218,275,218,Observer and Sentry Wards,item_ward_dispenser,0,/static/ward_dispenser_lg.png,0,0
44,125,44,Tango,item_tango,0,/static/tango_lg.png,0,0
241,30,241,Tango (Shared),item_tango_single,0,/static/tango_single_lg.png,0,0
45,100,45,Animal Courier,item_courier,0,/static/courier_lg.png,0,0
46,75,46,Town Portal Scroll,item_tpscroll,0,/static/tpscroll_lg.png,0,0
47,2000,47,Recipe: Boots of Travel,item_recipe_travel_boots,1,/static/recipe_travel_boots_lg.png,0,0
219,0,219,Recipe: Boots of Travel,item_recipe_travel_boots_2,1,/static/recipe_travel_boots_2_lg.png,0,0
48,2400,48,Boots of Travel,item_travel_boots,0,/static/travel_boots_lg.png,29,0
220,4400,220,Boots of Travel,item_travel_boots_2,0,/static/travel_boots_2_lg.png,48,0
49,0,49,Recipe: Phase Boots,item_recipe_phase_boots,1,/static/recipe_phase_boots_lg.png,0,0
50,1240,50,Phase Boots,item_phase_boots,0,/static/phase_boots_lg.png,29,0
51,2400,51,Demon Edge,item_demon_edge,0,/static/demon_edge_lg.png,0,0
52,3200,52,Eaglesong,item_eagle,0,/static/eagle_lg.png,0,0
53,3000,53,Reaver,item_reaver,0,/static/reaver_lg.png,0,0
54,3800,54,Sacred Relic,item_relic,0,/static/relic_lg.png,0,0
55,2000,55,Hyperstone,item_hyperstone,0,/static/hyperstone_lg.png,0,0
56,850,56,Ring of Health,item_ring_of_health,0,/static/ring_of_health_lg.png,0,0
57,850,57,Void Stone,item_void_stone,0,/static/void_stone_lg.png,0,0
58,2700,58,Mystic Staff,item_mystic_staff,0,/static/mystic_staff_lg.png,0,0
59,900,59,Energy Booster,item_energy_booster,0,/static/energy_booster_lg.png,0,0
60,1200,60,Point Booster,item_point_booster,0,/static/point_booster_lg.png,0,0
61,1100,61,Vitality Booster,item_vitality_booster,0,/static/vitality_booster_lg.png,0,0
62,0,62,Recipe: Power Treads,item_recipe_power_treads,1,/static/recipe_power_treads_lg.png,0,0
63,1350,63,Power Treads,item_power_treads,0,/static/power_treads_lg.png,29,0
64,1550,64,Recipe: Hand of Midas,item_recipe_hand_of_midas,1,/static/recipe_hand_of_midas_lg.png,0,0
65,2050,65,Hand of Midas,item_hand_of_midas,0,/static/hand_of_midas_lg.png,0,0
66,0,66,Recipe: Oblivion Staff,item_recipe_oblivion_staff,1,/static/recipe_oblivion_staff_lg.png,0,0
67,1650,67,Oblivion Staff,item_oblivion_staff,0,/static/oblivion_staff_lg.png,0,0
68,0,68,Recipe: Perseverance,item_recipe_pers,1,/static/recipe_pers_lg.png,0,0
69,1700,69,Perseverance,item_pers,0,/static/pers_lg.png,0,0
70,0,70,Recipe: Poor Man's Shield,item_recipe_poor_mans_shield,1,/static/recipe_poor_mans_shield_lg.png,0,0
71,500,71,Poor Man's Shield,item_poor_mans_shield,0,/static/poor_mans_shield_lg.png,0,0
72,210,72,Recipe: Bracer,item_recipe_bracer,1,/static/recipe_bracer_lg.png,0,0
73,525,73,Bracer,item_bracer,0,/static/bracer_lg.png,0,0
74,170,74,Recipe: Wraith Band,item_recipe_wraith_band,1,/static/recipe_wraith_band_lg.png,0,0
75,485,75,Wraith Band,item_wraith_band,0,/static/wraith_band_lg.png,0,0
76,155,76,Recipe: Null Talisman,item_recipe_null_talisman,1,/static/recipe_null_talisman_lg.png,0,0
77,470,77,Null Talisman,item_null_talisman,0,/static/null_talisman_lg.png,0,0
78,900,78,Recipe: Mekansm,item_recipe_mekansm,1,/static/recipe_mekansm_lg.png,0,0
79,2300,79,Mekansm,item_mekansm,0,/static/mekansm_lg.png,0,0
80,300,80,Recipe: Vladmir's Offering,item_recipe_vladmir,1,/static/recipe_vladmir_lg.png,0,0
81,2300,81,Vladmir's Offering,item_vladmir,0,/static/vladmir_lg.png,0,0
84,200,84,Flying Courier,item_flying_courier,0,/static/flying_courier_lg.png,0,0
85,200,85,Recipe: Buckler,item_recipe_buckler,1,/static/recipe_buckler_lg.png,0,0
86,800,86,Buckler,item_buckler,0,/static/buckler_lg.png,0,0
87,0,87,Recipe: Ring of Basilius,item_recipe_ring_of_basilius,1,/static/recipe_ring_of_basilius_lg.png,0,0
88,500,88,Ring of Basilius,item_ring_of_basilius,0,/static/ring_of_basilius_lg.png,0,0
89,800,89,Recipe: Pipe of Insight,item_recipe_pipe,1,/static/recipe_pipe_lg.png,0,0
90,3500,90,Pipe of Insight,item_pipe,0,/static/pipe_lg.png,131,31
91,250,91,Recipe: Urn of Shadows,item_recipe_urn_of_shadows,1,/static/recipe_urn_of_shadows_lg.png,0,0
92,875,92,Urn of Shadows,item_urn_of_shadows,0,/static/urn_of_shadows_lg.png,0,0
93,200,93,Recipe: Headdress,item_recipe_headdress,1,/static/recipe_headdress_lg.png,0,0
94,600,94,Headdress,item_headdress,0,/static/headdress_lg.png,0,0
95,0,95,Recipe: Scythe of Vyse,item_recipe_sheepstick,1,/static/recipe_sheepstick_lg.png,0,0
96,5650,96,Scythe of Vyse,item_sheepstick,0,/static/sheepstick_lg.png,0,0
97,775,97,Recipe: Orchid Malevolence,item_recipe_orchid,1,/static/recipe_orchid_lg.png,0,0
98,4075,98,Orchid Malevolence,item_orchid,0,/static/orchid_lg.png,0,0
99,650,99,Recipe: Eul's Scepter of Divinity,item_recipe_cyclone,1,/static/recipe_cyclone_lg.png,0,0
100,2825,100,Eul's Scepter of Divinity,item_cyclone,0,/static/cyclone_lg.png,0,0
233,550,233,Recipe: Aether Lens,item_recipe_aether_lens,1,/static/recipe_aether_lens_lg.png,0,0
232,2300,232,Aether Lens,item_aether_lens,0,/static/aether_lens_lg.png,0,0
101,900,101,Recipe: Force Staff,item_recipe_force_staff,1,/static/recipe_force_staff_lg.png,0,0
102,2250,102,Force Staff,item_force_staff,0,/static/force_staff_lg.png,0,0
103,1250,103,Recipe: Dagon,item_recipe_dagon,1,/static/recipe_dagon_lg.png,0,0
197,0,197,Recipe: Dagon,item_recipe_dagon_2,1,/static/recipe_dagon_2_lg.png,0,0
198,0,198,Recipe: Dagon,item_recipe_dagon_3,1,/static/recipe_dagon_3_lg.png,0,0
199,0,199,Recipe: Dagon,item_recipe_dagon_4,1,/static/recipe_dagon_4_lg.png,0,0
200,0,200,Recipe: Dagon,item_recipe_dagon_5,1,/static/recipe_dagon_5_lg.png,0,0
104,2720,104,Dagon,item_dagon,0,/static/dagon_lg.png,0,0
201,3970,201,Dagon,item_dagon_2,0,/static/dagon_2_lg.png,0,0
202,5220,202,Dagon,item_dagon_3,0,/static/dagon_3_lg.png,0,0
203,6470,203,Dagon,item_dagon_4,0,/static/dagon_4_lg.png,0,0
204,7720,204,Dagon,item_dagon_5,0,/static/dagon_5_lg.png,0,0
105,1200,105,Recipe: Necronomicon,item_recipe_necronomicon,1,/static/recipe_necronomicon_lg.png,0,0
191,0,191,Recipe: Necronomicon,item_recipe_necronomicon_2,1,/static/recipe_necronomicon_2_lg.png,0,0
192,0,192,Recipe: Necronomicon,item_recipe_necronomicon_3,1,/static/recipe_necronomicon_3_lg.png,0,0
106,2650,106,Necronomicon,item_necronomicon,0,/static/necronomicon_lg.png,0,0
193,3850,193,Necronomicon,item_necronomicon_2,0,/static/necronomicon_2_lg.png,0,0
194,5050,194,Necronomicon,item_necronomicon_3,0,/static/necronomicon_3_lg.png,0,0
107,0,107,Recipe: Aghanim's Scepter,item_recipe_ultimate_scepter,1,/static/recipe_ultimate_scepter_lg.png,0,0
108,4200,108,Aghanim's Scepter,item_ultimate_scepter,0,/static/ultimate_scepter_lg.png,0,0
109,1800,109,Recipe: Refresher Orb,item_recipe_refresher,1,/static/recipe_refresher_lg.png,0,0
110,5200,110,Refresher Orb,item_refresher,0,/static/refresher_lg.png,0,0
111,1300,111,Recipe: Assault Cuirass,item_recipe_assault,1,/static/recipe_assault_lg.png,0,0
112,5250,112,Assault Cuirass,item_assault,0,/static/assault_lg.png,55,0
113,1400,113,Recipe: Heart of Tarrasque,item_recipe_heart,1,/static/recipe_heart_lg.png,0,0
114,5500,114,Heart of Tarrasque,item_heart,0,/static/heart_lg.png,0,0
115,1375,115,Recipe: Black King Bar,item_recipe_black_king_bar,1,/static/recipe_black_king_bar_lg.png,0,0
116,3975,116,Black King Bar,item_black_king_bar,0,/static/black_king_bar_lg.png,0,0
117,0,117,Aegis of the Immortal,item_aegis,0,/static/aegis_lg.png,0,0
118,600,118,Recipe: Shiva's Guard,item_recipe_shivas_guard,1,/static/recipe_shivas_guard_lg.png,0,0
119,4700,119,Shiva's Guard,item_shivas_guard,0,/static/shivas_guard_lg.png,0,0
120,900,120,Recipe: Bloodstone,item_recipe_bloodstone,1,/static/recipe_bloodstone_lg.png,0,0
121,4900,121,Bloodstone,item_bloodstone,0,/static/bloodstone_lg.png,178,0
122,1325,122,Recipe: Linken's Sphere,item_recipe_sphere,1,/static/recipe_sphere_lg.png,0,0
123,5125,123,Linken's Sphere,item_sphere,0,/static/sphere_lg.png,0,0
221,900,221,Recipe: Lotus Orb,item_recipe_lotus_orb,1,/static/recipe_lotus_orb_lg.png,0,0
226,4000,226,Lotus Orb,item_lotus_orb,0,/static/lotus_orb_lg.png,0,0
124,0,124,Recipe: Vanguard,item_recipe_vanguard,1,/static/recipe_vanguard_lg.png,0,0
125,2150,125,Vanguard,item_vanguard,0,/static/vanguard_lg.png,0,0
243,600,243,Recipe: Crimson Guard,item_recipe_crimson_guard,1,/static/recipe_crimson_guard_lg.png,0,0
242,3550,242,Crimson Guard,item_crimson_guard,0,/static/crimson_guard_lg.png,125,0
126,0,126,Recipe: Blade Mail,item_recipe_blade_mail,1,/static/recipe_blade_mail_lg.png,0,0
127,2200,127,Blade Mail,item_blade_mail,0,/static/blade_mail_lg.png,0,0
128,0,128,Recipe: Soul Booster,item_recipe_soul_booster,1,/static/recipe_soul_booster_lg.png,0,0
129,3200,129,Soul Booster,item_soul_booster,0,/static/soul_booster_lg.png,0,0
130,0,130,Recipe: Hood of Defiance,item_recipe_hood_of_defiance,1,/static/recipe_hood_of_defiance_lg.png,0,0
131,2100,131,Hood of Defiance,item_hood_of_defiance,0,/static/hood_of_defiance_lg.png,31,0
132,0,132,Recipe: Divine Rapier,item_recipe_rapier,1,/static/recipe_rapier_lg.png,0,0
133,6200,133,Divine Rapier,item_rapier,0,/static/rapier_lg.png,0,0
134,0,134,Recipe: Monkey King Bar,item_recipe_monkey_king_bar,1,/static/recipe_monkey_king_bar_lg.png,0,0
135,5400,135,Monkey King Bar,item_monkey_king_bar,0,/static/monkey_king_bar_lg.png,0,0
136,1350,136,Recipe: Radiance,item_recipe_radiance,1,/static/recipe_radiance_lg.png,0,0
137,5150,137,Radiance,item_radiance,0,/static/radiance_lg.png,0,0
138,0,138,Recipe: Butterfly,item_recipe_butterfly,1,/static/recipe_butterfly_lg.png,0,0
139,5875,139,Butterfly,item_butterfly,0,/static/butterfly_lg.png,32,0
140,1000,140,Recipe: Daedalus,item_recipe_greater_crit,1,/static/recipe_greater_crit_lg.png,0,0
141,5520,141,Daedalus,item_greater_crit,0,/static/greater_crit_lg.png,0,0
142,1000,142,Recipe: Skull Basher,item_recipe_basher,1,/static/recipe_basher_lg.png,0,0
143,2700,143,Skull Basher,item_basher,0,/static/basher_lg.png,0,0
144,0,144,Recipe: Battle Fury,item_recipe_bfury,1,/static/recipe_bfury_lg.png,0,0
145,4500,145,Battle Fury,item_bfury,0,/static/bfury_lg.png,0,0
146,800,146,Recipe: Manta Style,item_recipe_manta,1,/static/recipe_manta_lg.png,0,0
147,4950,147,Manta Style,item_manta,0,/static/manta_lg.png,170,0
148,500,148,Recipe: Crystalys,item_recipe_lesser_crit,1,/static/recipe_lesser_crit_lg.png,0,0
149,2120,149,Crystalys,item_lesser_crit,0,/static/lesser_crit_lg.png,0,0
234,0,234,Recipe: Dragon Lance,item_recipe_dragon_lance,1,/static/recipe_dragon_lance_lg.png,0,0
236,1875,236,Dragon Lance,item_dragon_lance,0,/static/dragon_lance_lg.png,0,0
150,500,150,Recipe: Armlet of Mordiggian,item_recipe_armlet,1,/static/recipe_armlet_lg.png,0,0
151,2320,151,Armlet of Mordiggian,item_armlet,0,/static/armlet_lg.png,0,0
183,0,183,Recipe: Shadow Blade,item_recipe_invis_sword,1,/static/recipe_invis_sword_lg.png,0,0
152,2800,152,Shadow Blade,item_invis_sword,0,/static/invis_sword_lg.png,0,0
248,600,248,Recipe: Silver Edge,item_recipe_silver_edge,1,/static/recipe_silver_edge_lg.png,0,0
249,5450,249,Silver Edge,item_silver_edge,0,/static/silver_edge_lg.png,152,162
153,0,153,Recipe: Sange and Yasha,item_recipe_sange_and_yasha,1,/static/recipe_sange_and_yasha_lg.png,0,0
154,4100,154,Sange and Yasha,item_sange_and_yasha,0,/static/sange_and_yasha_lg.png,162,0
155,1100,155,Recipe: Satanic,item_recipe_satanic,1,/static/recipe_satanic_lg.png,0,0
156,5900,156,Satanic,item_satanic,0,/static/satanic_lg.png,0,0
157,900,157,Recipe: Mjollnir,item_recipe_mjollnir,1,/static/recipe_mjollnir_lg.png,0,0
158,5700,158,Mjollnir,item_mjollnir,0,/static/mjollnir_lg.png,166,0
159,0,159,Recipe: Eye of Skadi,item_recipe_skadi,1,/static/recipe_skadi_lg.png,0,0
160,5675,160,Eye of Skadi,item_skadi,0,/static/skadi_lg.png,0,0
161,600,161,Recipe: Sange,item_recipe_sange,1,/static/recipe_sange_lg.png,0,0
162,2050,162,Sange,item_sange,0,/static/sange_lg.png,0,0
163,0,163,Recipe: Helm of the Dominator,item_recipe_helm_of_the_dominator,1,/static/recipe_helm_of_the_dominator_lg.png,0,0
164,1800,164,Helm of the Dominator,item_helm_of_the_dominator,0,/static/helm_of_the_dominator_lg.png,0,0
165,700,165,Recipe: Maelstrom,item_recipe_maelstrom,1,/static/recipe_maelstrom_lg.png,0,0
166,2800,166,Maelstrom,item_maelstrom,0,/static/maelstrom_lg.png,0,0
167,300,167,Recipe: Desolator,item_recipe_desolator,1,/static/recipe_desolator_lg.png,0,0
168,3500,168,Desolator,item_desolator,0,/static/desolator_lg.png,0,0
169,600,169,Recipe: Yasha,item_recipe_yasha,1,/static/recipe_yasha_lg.png,0,0
170,2050,170,Yasha,item_yasha,0,/static/yasha_lg.png,0,0
171,900,171,Recipe: Mask of Madness,item_recipe_mask_of_madness,1,/static/recipe_mask_of_madness_lg.png,0,0
172,1800,172,Mask of Madness,item_mask_of_madness,0,/static/mask_of_madness_lg.png,0,0
173,700,173,Recipe: Diffusal Blade,item_recipe_diffusal_blade,1,/static/recipe_diffusal_blade_lg.png,0,0
195,0,195,Recipe: Diffusal Blade,item_recipe_diffusal_blade_2,1,/static/recipe_diffusal_blade_2_lg.png,0,0
174,3150,174,Diffusal Blade,item_diffusal_blade,0,/static/diffusal_blade_lg.png,0,0
196,3850,196,Diffusal Blade,item_diffusal_blade_2,0,/static/diffusal_blade_2_lg.png,174,0
175,0,175,Recipe: Ethereal Blade,item_recipe_ethereal_blade,1,/static/recipe_ethereal_blade_lg.png,0,0
176,4700,176,Ethereal Blade,item_ethereal_blade,0,/static/ethereal_blade_lg.png,37,0
177,125,177,Recipe: Soul Ring,item_recipe_soul_ring,1,/static/recipe_soul_ring_lg.png,0,0
178,800,178,Soul Ring,item_soul_ring,0,/static/soul_ring_lg.png,0,0
179,0,179,Recipe: Arcane Boots,item_recipe_arcane_boots,1,/static/recipe_arcane_boots_lg.png,29,0
180,1300,180,Arcane Boots,item_arcane_boots,0,/static/arcane_boots_lg.png,0,0
228,0,228,Recipe: Octarine Core,item_recipe_octarine_core,1,/static/recipe_octarine_core_lg.png,0,0
235,5900,235,Octarine Core,item_octarine_core,0,/static/octarine_core_lg.png,0,0
181,275,181,Orb of Venom,item_orb_of_venom,0,/static/orb_of_venom_lg.png,0,0
184,875,184,Recipe: Drum of Endurance,item_recipe_ancient_janggo,1,/static/recipe_ancient_janggo_lg.png,0,0
185,1785,185,Drum of Endurance,item_ancient_janggo,0,/static/ancient_janggo_lg.png,0,0
186,325,186,Recipe: Medallion of Courage,item_recipe_medallion_of_courage,1,/static/recipe_medallion_of_courage_lg.png,0,0
187,1200,187,Medallion of Courage,item_medallion_of_courage,0,/static/medallion_of_courage_lg.png,0,0
227,0,227,Recipe: Solar Crest,item_recipe_solar_crest,1,/static/recipe_solar_crest_lg.png,0,0
229,3000,229,Solar Crest,item_solar_crest,0,/static/solar_crest_lg.png,187,32
188,50,188,Smoke of Deceit,item_smoke_of_deceit,0,/static/smoke_of_deceit_lg.png,0,0
189,0,189,Recipe: Veil of Discord,item_recipe_veil_of_discord,1,/static/recipe_veil_of_discord_lg.png,0,0
190,2270,190,Veil of Discord,item_veil_of_discord,0,/static/veil_of_discord_lg.png,0,0
230,1650,230,Recipe: Guardian Greaves,item_recipe_guardian_greaves,1,/static/recipe_guardian_greaves_lg.png,0,0
231,5250,231,Guardian Greaves,item_guardian_greaves,0,/static/guardian_greaves_lg.png,79,180
205,0,205,Recipe: Rod of Atos,item_recipe_rod_of_atos,1,/static/recipe_rod_of_atos_lg.png,0,0
206,3100,206,Rod of Atos,item_rod_of_atos,0,/static/rod_of_atos_lg.png,0,0
238,125,238,Recipe: Iron Talon,item_recipe_iron_talon,1,/static/recipe_iron_talon_lg.png,0,0
239,500,239,Iron Talon,item_iron_talon,0,/static/iron_talon_lg.png,0,0
207,0,207,Recipe: Abyssal Blade,item_recipe_abyssal_blade,1,/static/recipe_abyssal_blade_lg.png,0,0
208,6400,208,Abyssal Blade,item_abyssal_blade,0,/static/abyssal_blade_lg.png,143,125
209,0,209,Recipe: Heaven's Halberd,item_recipe_heavens_halberd,1,/static/recipe_heavens_halberd_lg.png,0,0
210,3850,210,Heaven's Halberd,item_heavens_halberd,0,/static/heavens_halberd_lg.png,162,0
211,0,211,Recipe: Ring of Aquila,item_recipe_ring_of_aquila,1,/static/recipe_ring_of_aquila_lg.png,0,0
212,985,212,Ring of Aquila,item_ring_of_aquila,0,/static/ring_of_aquila_lg.png,0,0
213,0,213,Recipe: Tranquil Boots,item_recipe_tranquil_boots,1,/static/recipe_tranquil_boots_lg.png,0,0
214,925,214,Tranquil Boots,item_tranquil_boots,0,/static/tranquil_boots_lg.png,129,0
215,1400,215,Shadow Amulet,item_shadow_amulet,0,/static/shadow_amulet_lg.png,0,0
253,0,253,Recipe: Glimmer Cape,item_recipe_glimmer_cape,1,/static/recipe_glimmer_cape_lg.png,0,0
254,1950,254,Glimmer Cape,item_glimmer_cape,0,/static/glimmer_cape_lg.png,0,0
1000,0,1000,Greevil Taffy,item_halloween_candy_corn,0,/static/halloween_candy_corn_lg.png,0,0
1001,0,1001,DOTA_Tooltip_Ability_item_mystery_hook,item_mystery_hook,0,/static/mystery_hook_lg.png,0,0
1002,0,1002,DOTA_Tooltip_Ability_item_mystery_arrow,item_mystery_arrow,0,/static/mystery_arrow_lg.png,0,0
1003,0,1003,DOTA_Tooltip_Ability_item_mystery_missile,item_mystery_missile,0,/static/mystery_missile_lg.png,0,0
1004,0,1004,DOTA_Tooltip_Ability_item_mystery_toss,item_mystery_toss,0,/static/mystery_toss_lg.png,0,0
1005,0,1005,DOTA_Tooltip_Ability_item_mystery_vacuum,item_mystery_vacuum,0,/static/mystery_vacuum_lg.png,0,0
1006,6200,1006,DOTA_Tooltip_Ability_item_halloween_rapier,item_halloween_rapier,0,/static/halloween_rapier_lg.png,0,0
1007,0,1007,Greevil Whistle,item_greevil_whistle,0,/static/greevil_whistle_lg.png,0,0
1008,0,1008,Greevil Whistle,item_greevil_whistle_toggle,0,/static/greevil_whistle_toggle_lg.png,0,0
1009,0,1009,A Gift!,item_present,0,/static/present_lg.png,0,0
1010,0,1010,Xmas Stocking,item_winter_stocking,0,/static/winter_stocking_lg.png,0,0
1011,0,1011,Speed Skates,item_winter_skates,0,/static/winter_skates_lg.png,0,0
1012,0,1012,Fruit-bit Cake,item_winter_cake,0,/static/winter_cake_lg.png,0,0
1013,0,1013,Wizard Cookie,item_winter_cookie,0,/static/winter_cookie_lg.png,0,0
1014,0,1014,Cocoa with Marshmallows,item_winter_coco,0,/static/winter_coco_lg.png,0,0
1015,0,1015,Clove Studded Ham,item_winter_ham,0,/static/winter_ham_lg.png,0,0
1016,0,1016,Kringle,item_winter_kringle,0,/static/winter_kringle_lg.png,0,0
1017,0,1017,Snow Mushroom,item_winter_mushroom,0,/static/winter_mushroom_lg.png,0,0
1018,0,1018,Greevil Treat,item_winter_greevil_treat,0,/static/winter_greevil_treat_lg.png,0,0
1019,0,1019,Greevil Chow,item_winter_greevil_garbage,0,/static/winter_greevil_garbage_lg.png,0,0
1020,0,1020,Greevil Blink Bone,item_winter_greevil_chewy,0,/static/winter_greevil_chewy_lg.png,0,0
250,7195,250,bloodthorn,bloodthorn,1,/static/bloodthorn_lg.png?3,98,149
252,2650,252,Echo Sabre,echo_sabre,0,/static/echo_sabre_lg.png?3,0,0
263,4375,263,Hurricane Pike,hurricane_pike,1,/static/hurricane_pike_lg.png?3,102,236
