index,hero,hero_name,solo_WR,friend0,friend_WR0,friend1,friend_WR1,friend2,friend_WR2,frenemy3,frenemy_WR3,frenemy4,frenemy_WR4,frenemy5,frenemy_WR5,skill,skill_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
28,28,Slardar,0.5249057729331056,28,0.6692789968652038,28,0.6053604436229205,28,0.6262415054887611,28,0.4135514018691589,28,0.4299363057324841,28,0.45510204081632655,Q,0.5587044534412956,36,0.4721160528144545,Magic Wand,63,0.5104110085098679,Power Treads,1,0.5383506343713956,Blink Dagger,214,0.5176233635448136,Tranquil Boots,55,0.6505979073243647,Hyperstone
29,29,Tidehunter,0.5166563849475633,29,0.6174957118353345,29,0.5517241379310345,29,0.5795107033639144,29,0.3358208955223881,29,0.40476190476190477,29,0.41947565543071164,E,0.526628474432421,36,0.4863889306662656,Magic Wand,180,0.4586597040905135,Arcane Boots,1,0.5403259506895111,Blink Dagger,31,0.2468193384223919,Cloak,110,0.6995645863570392,Refresher Orb
30,30,Witch Doctor,0.5166483480959462,30,0.6405693950177936,30,0.592140921409214,30,0.5886792452830188,30,0.4094488188976378,30,0.395,30,0.41492537313432837,Q,0.5129540781357094,36,0.5081402921201972,Magic Wand,180,0.5176948527872011,Arcane Boots,254,0.5622945921720944,Glimmer Cape,108,0.6343682815859207,Aghanim's Scepter,31,0.2252155172413793,Cloak
31,31,Lich,0.5256612995974698,31,0.6088888888888889,31,0.5833333333333334,31,0.55,31,0.4092920353982301,31,0.40939597315436244,31,0.417910447761194,E,0.5523932729624839,214,0.5128975950349108,Tranquil Boots,79,0.5415430267062314,Mekansm,36,0.5240694789081886,Magic Wand,92,0.5336161879895561,Urn of Shadows,108,0.6417714884696016,Aghanim's Scepter
32,32,Riki,0.5209983070285621,32,0.6423357664233577,32,0.5652173913043478,32,0.5964912280701754,32,0.3258426966292135,32,0.3933649289099526,32,0.4018264840182648,E,0.5425731432858214,63,0.4965379398957813,Power Treads,36,0.4638505280259951,Magic Wand,143,0.6025774991292233,Skull Basher,174,0.4893686089920468,Diffusal Blade,196,0.6149241819632881,Diffusal Blade
33,33,Enigma,0.5182704019488429,33,0.6068965517241379,33,0.625,33,0.5846774193548387,33,0.3582089552238806,33,0.36231884057971014,33,0.37037037037037035,W,0.5298901992679951,178,0.4690317522540181,Soul Ring,1,0.5247770524960926,Blink Dagger,48,0.7644295302013423,Boots of Travel,180,0.4547667342799189,Arcane Boots,214,0.4598619687613513,Tranquil Boots
34,34,Tinker,0.4593078324225866,34,0.5925925925925926,34,0.5333333333333333,34,0.5173410404624278,34,0.2857142857142857,34,0.30833333333333335,34,0.364,Q,0.4886980108499096,178,0.4355023923444976,Soul Ring,41,0.41483739837398376,Bottle,48,0.39716170297821307,Boots of Travel,1,0.4841941046062895,Blink Dagger,37,0.4804156674660272,Ghost Scepter
35,35,Sniper,0.458079768836741,35,0.5957264957264957,35,0.5474006116207951,35,0.5403726708074534,35,0.35106382978723405,35,0.36764705882352944,35,0.33793103448275863,Q,0.4958871915393655,236,0.4675445103857567,Dragon Lance,63,0.4187666301455627,Power Treads,48,0.7410676754939051,Boots of Travel,152,0.43743416894880977,Shadow Blade,50,0.4486571879936809,Phase Boots
36,36,Necrophos,0.5894736842105263,36,0.68359375,36,0.673874926943308,36,0.6737550471063257,36,0.45182724252491696,36,0.45622119815668205,36,0.48672566371681414,W,0.6093530239099859,36,0.5922948073701843,Magic Wand,180,0.5101528905876732,Arcane Boots,79,0.5389735364875702,Mekansm,108,0.6729511999662575,Aghanim's Scepter,63,0.5383022774327122,Power Treads
37,37,Warlock,0.5531019978969506,37,0.6774193548387096,37,0.6905829596412556,37,0.68359375,37,0.43037974683544306,37,0.47019867549668876,37,0.4594594594594595,W,0.5579842137219186,180,0.5546759030183077,Arcane Boots,36,0.5560104205433569,Magic Wand,108,0.6206851803789255,Aghanim's Scepter,110,0.7029041377537908,Refresher Orb,79,0.52,Mekansm
38,38,Beastmaster,0.5148990255613614,38,0.6108374384236454,38,0.5956284153005464,38,0.572,38,0.3783783783783784,38,0.3875,38,0.39622641509433965,E,0.544611819235226,36,0.4710691823899371,Magic Wand,48,0.7314923619271445,Boots of Travel,239,0.4880733944954129,Iron Talon,1,0.5972800444074382,Blink Dagger,81,0.6611268747466559,Vladmir's Offering
39,39,Queen of Pain,0.4256421482778751,39,0.5348696179502729,39,0.5364472753007785,39,0.514726507713885,39,0.2964824120603015,39,0.3183856502242152,39,0.3357142857142857,Q,0.4339152119700748,41,0.33483419096626643,Bottle,63,0.3926605504587156,Power Treads,36,0.3256895445798589,Magic Wand,48,0.7049459920409323,Boots of Travel,98,0.4545768865070447,Orchid Malevolence
40,40,Venomancer,0.5324393167515733,40,0.6632653061224489,40,0.63671875,40,0.643956043956044,40,0.3333333333333333,40,0.34951456310679613,40,0.4,W,0.5504451038575667,36,0.5048413125336202,Magic Wand,180,0.4876365727429557,Arcane Boots,212,0.5138997142114835,Ring of Aquila,152,0.5283862315601252,Shadow Blade,63,0.4767015706806283,Power Treads
41,41,Faceless Void,0.4845979012524784,41,0.5986842105263158,41,0.5614035087719298,41,0.5963673057517659,41,0.34782608695652173,41,0.35555555555555557,41,0.34545454545454546,Q,0.4901922322479404,63,0.4655438983986748,Power Treads,48,0.7842799770510613,Boots of Travel,36,0.3882702301410542,Magic Wand,172,0.4299802761341223,Mask of Madness,1,0.5793616716759696,Blink Dagger
42,42,Wraith King,0.5492894436568584,42,0.6904761904761905,42,0.6367880485527544,42,0.6383071553228621,42,0.3744493392070485,42,0.40397350993377484,42,0.4338235294117647,Q,0.5516898608349899,63,0.5259429047718275,Power Treads,36,0.4474777448071217,Magic Wand,48,0.7830670926517572,Boots of Travel,1,0.602811004784689,Blink Dagger,143,0.6058327637275006,Skull Basher
43,43,Death Prophet,0.4930107087386577,43,0.572289156626506,43,0.5572289156626506,43,0.5735294117647058,43,0.35555555555555557,43,0.3402061855670103,43,0.36585365853658536,Q,0.4913860610806578,36,0.4571813890761969,Magic Wand,50,0.4548002803083392,Phase Boots,41,0.4203669236905078,Bottle,48,0.7107942973523421,Boots of Travel,100,0.5067824199674443,Eul's Scepter of Divinity
44,44,Phantom Assassin,0.4787943711350246,44,0.5854545454545454,44,0.5861066235864297,44,0.5918985946541747,44,0.36790123456790125,44,0.3932788374205268,44,0.3872340425531915,Q,0.4868518671173028,63,0.4363941967445152,Power Treads,48,0.7679856115107914,Boots of Travel,164,0.4650934522105436,Helm of the Dominator,50,0.4768677586895725,Phase Boots,143,0.5044674073498563,Skull Basher
45,45,Pugna,0.5012378594553418,45,0.6093023255813953,45,0.6351351351351351,45,0.5894039735099338,45,0.3140495867768595,45,0.38333333333333336,45,0.36363636363636365,E,0.4838709677419355,36,0.49457994579945797,Magic Wand,180,0.4542986425339367,Arcane Boots,108,0.5918081295748325,Aghanim's Scepter,178,0.5011820330969267,Soul Ring,79,0.4570217917675545,Mekansm
46,46,Templar Assassin,0.4849184018007878,46,0.572,46,0.6039325842696629,46,0.5789473684210527,46,0.375,46,0.39245283018867927,46,0.38028169014084506,Q,0.4911069816830369,48,0.7464887640449438,Boots of Travel,1,0.518923294879579,Blink Dagger,41,0.3008116334122421,Bottle,63,0.4436594419829961,Power Treads,168,0.530485033439387,Desolator
47,47,Viper,0.4981599607458293,47,0.5616438356164384,47,0.6260657734470159,47,0.576530612244898,47,0.3724137931034483,47,0.3848684210526316,47,0.37362637362637363,E,0.5362473347547975,63,0.4777513437307252,Power Treads,79,0.5231570293231023,Mekansm,212,0.4742527374963007,Ring of Aquila,36,0.4471858134155744,Magic Wand,152,0.4520202020202021,Shadow Blade
48,48,Luna,0.5117291158051163,48,0.6419753086419753,48,0.6637744034707158,48,0.61875,48,0.3404255319148936,48,0.3384615384615385,48,0.40939597315436244,E,0.53125,63,0.4801871216290589,Power Treads,48,0.7132188200149365,Boots of Travel,164,0.4693410616229408,Helm of the Dominator,212,0.44302949061662206,Ring of Aquila,36,0.4106995884773663,Magic Wand
49,49,Dragon Knight,0.5004758581308293,49,0.6090909090909091,49,0.5711382113821138,49,0.5813953488372093,49,0.3726937269372694,49,0.37777777777777777,49,0.3894736842105263,E,0.5011547344110855,63,0.4816796130734281,Power Treads,36,0.3976510067114094,Magic Wand,164,0.5112080936322159,Helm of the Dominator,41,0.3871131405377981,Bottle,116,0.5289378120744439,Black King Bar
50,50,Dazzle,0.5302299782395358,50,0.6266666666666667,50,0.6419068736141907,50,0.6296296296296297,50,0.4148681055155875,50,0.4074074074074074,50,0.40669856459330145,Q,0.5586592178770949,36,0.5297865562280981,Magic Wand,180,0.4663840096910963,Arcane Boots,92,0.5395099789063768,Urn of Shadows,187,0.4766141331977631,Medallion of Courage,79,0.4649762860269974,Mekansm
51,51,Clockwerk,0.4967588591184097,51,0.6314432989690721,51,0.5989247311827957,51,0.5857740585774058,51,0.36231884057971014,51,0.3333333333333333,51,0.39303482587064675,Q,0.5104536489151874,36,0.4357127264789347,Magic Wand,127,0.5071457085828344,Blade Mail,41,0.4453196001211754,Bottle,180,0.4908980582524272,Arcane Boots,50,0.4637088089597243,Phase Boots
52,52,Leshrac,0.4486001749781277,52,0.631578947368421,52,0.6521739130434783,52,0.5777777777777777,52,0.2619047619047619,52,0.26666666666666666,52,0.3,Q,0.4577922077922078,36,0.4003115264797508,Magic Wand,180,0.3627019089574156,Arcane Boots,48,0.7072945521698984,Boots of Travel,41,0.4076850984067479,Bottle,121,0.5698599015524423,Bloodstone
53,53,Natures Prophet,0.4370120771335157,53,0.53954802259887,53,0.5583333333333333,53,0.5167464114832536,53,0.31092436974789917,53,0.32597864768683277,53,0.32211538461538464,W,0.4310875034945485,63,0.4189609913924669,Power Treads,152,0.3811431045680883,Shadow Blade,98,0.4627293577981652,Orchid Malevolence,50,0.4402754356379989,Phase Boots,65,0.3821915776986952,Hand of Midas
54,54,Lifestealer,0.5123889857658461,54,0.6068965517241379,54,0.5714285714285714,54,0.5630165289256198,54,0.39644970414201186,54,0.4171779141104294,54,0.4377745241581259,E,0.5405405405405406,48,0.7552039966694422,Boots of Travel,63,0.4573919565013593,Power Treads,50,0.4876116211797258,Phase Boots,143,0.5104866899704221,Skull Basher,239,0.34970911441499675,Iron Talon
55,55,Dark Seer,0.4923785166240409,55,0.625,55,0.631578947368421,55,0.6375321336760925,55,0.36129032258064514,55,0.37,55,0.36231884057971014,W,0.5034013605442177,178,0.4830432442131706,Soul Ring,36,0.4564796905222437,Magic Wand,180,0.3416127934671657,Arcane Boots,1,0.5397737475309751,Blink Dagger,231,0.5934988390784068,Guardian Greaves
56,56,Clinkz,0.4829110583267353,56,0.5778635778635779,56,0.5478841870824054,56,0.5382882882882883,56,0.3,56,0.3861003861003861,56,0.3761467889908257,W,0.4833267948214986,63,0.4648561005269558,Power Treads,212,0.423811856932876,Ring of Aquila,98,0.4773690078037904,Orchid Malevolence,178,0.44816253361219005,Soul Ring,149,0.4410085632730733,Crystalys
57,57,Omniknight,0.6022885252914126,57,0.6657534246575343,57,0.6492829204693612,57,0.6676372712146422,57,0.4536082474226804,57,0.4951923076923077,57,0.5037783375314862,Q,0.6065446478092069,178,0.5981812057931963,Soul Ring,36,0.5994602929838088,Magic Wand,180,0.5484157724299955,Arcane Boots,79,0.5469041560644614,Mekansm,108,0.7578125,Aghanim's Scepter
58,58,Enchantress,0.4529278550630864,58,0.5629139072847682,58,0.5694444444444444,58,0.571656050955414,58,0.34801762114537443,58,0.39655172413793105,58,0.3548387096774194,Q,0.4379110251450677,236,0.4810688125451357,Dragon Lance,63,0.4169411144776709,Power Treads,36,0.4162700129813933,Magic Wand,50,0.4856361149110807,Phase Boots,108,0.537195596575114,Aghanim's Scepter
59,59,Huskar,0.4412222654729467,59,0.5124378109452736,59,0.5642633228840125,59,0.5330812854442344,59,0.3125,59,0.3284671532846715,59,0.33877551020408164,W,0.4516680923866553,63,0.41695891783567135,Power Treads,92,0.37241998205204907,Urn of Shadows,151,0.4629845715026578,Armlet of Mordiggian,164,0.4112195121951219,Helm of the Dominator,48,0.8271221532091098,Boots of Travel
60,60,Night Stalker,0.5054138028434234,60,0.6153846153846154,60,0.6088888888888889,60,0.6079545454545454,60,0.375,60,0.34782608695652173,60,0.3942307692307692,E,0.5145631067961165,92,0.4768817204301075,Urn of Shadows,50,0.4927877539005005,Phase Boots,36,0.4266743648960739,Magic Wand,125,0.4938409854423293,Vanguard,143,0.5851851851851851,Skull Basher
61,61,Broodmother,0.4077742015350334,61,0.625,61,0.5,61,0.48717948717948717,61,0.16666666666666666,61,0.2727272727272727,61,0.26666666666666666,Q,0.4246987951807229,178,0.36693191865605657,Soul Ring,48,0.538160469667319,Boots of Travel,98,0.4530438886267107,Orchid Malevolence,63,0.3720809548521017,Power Treads,81,0.4343148357870895,Vladmir's Offering
62,62,Bounty Hunter,0.5125489293115358,62,0.6099585062240664,62,0.6043336944745396,62,0.6057635757694569,62,0.4126506024096386,62,0.41379310344827586,62,0.4577922077922078,Q,0.5298563242255626,36,0.4901443426975012,Magic Wand,92,0.5134144160257557,Urn of Shadows,48,0.8070368334249588,Boots of Travel,180,0.4092326887086712,Arcane Boots,50,0.40001904399162064,Phase Boots
63,63,Weaver,0.5058430717863105,63,0.5658914728682171,63,0.6095238095238096,63,0.610236220472441,63,0.3861003861003861,63,0.35526315789473684,63,0.4126984126984127,W,0.5090406296532652,63,0.4851190476190476,Power Treads,212,0.4690814714511397,Ring of Aquila,36,0.4345679012345679,Magic Wand,48,0.7126731657260134,Boots of Travel,168,0.5681340022657388,Desolator
64,64,Jakiro,0.5176278980647634,64,0.6093023255813953,64,0.6481481481481481,64,0.5964125560538116,64,0.38271604938271603,64,0.39622641509433965,64,0.3875,Q,0.5419222903885481,36,0.4987080103359173,Magic Wand,180,0.4697164948453608,Arcane Boots,79,0.484047019311503,Mekansm,214,0.4968461911693353,Tranquil Boots,100,0.5833764888658726,Eul's Scepter of Divinity
65,65,Batrider,0.4420497362471741,65,0.5416666666666666,65,0.5507246376811594,65,0.5528846153846154,65,0.24285714285714285,65,0.3076923076923077,65,0.32941176470588235,E,0.4515132798023471,214,0.3896754519712481,Tranquil Boots,48,0.6923076923076923,Boots of Travel,36,0.3599748269351793,Magic Wand,1,0.4547626632685569,Blink Dagger,102,0.4708370044052864,Force Staff
66,66,Chen,0.4754157628344179,66,0.6428571428571429,66,0.6774193548387096,66,0.6229508196721312,66,0.3333333333333333,66,0.2916666666666667,66,0.32142857142857145,E,0.4598540145985402,180,0.4334442595673877,Arcane Boots,79,0.4165170556552962,Mekansm,108,0.6063044936284373,Aghanim's Scepter,81,0.6292517006802721,Vladmir's Offering,231,0.6229187071498531,Guardian Greaves
67,67,Spectre,0.5778811500785876,67,0.6647911707422636,67,0.6460970464135021,67,0.6263736263736264,67,0.4527027027027027,67,0.45685279187817257,67,0.4973821989528796,W,0.5866026154256738,50,0.5661103350243855,Phase Boots,125,0.5510932619366354,Vanguard,48,0.7975820944290148,Boots of Travel,92,0.5069609752578806,Urn of Shadows,174,0.6037459099627666,Diffusal Blade
68,68,Ancient Apparition,0.4855536467280962,68,0.6138433515482696,68,0.5630165289256198,68,0.5498839907192575,68,0.3484848484848485,68,0.38461538461538464,68,0.4,E,0.5056179775280899,36,0.4705238182150027,Magic Wand,180,0.5109311740890689,Arcane Boots,92,0.5021897810218978,Urn of Shadows,37,0.4879912663755458,Ghost Scepter,108,0.5829632326174008,Aghanim's Scepter
69,69,Doom,0.4831789630575961,69,0.5846774193548387,69,0.5620328849028401,69,0.5416666666666666,69,0.34328358208955223,69,0.38764044943820225,69,0.3722334004024145,W,0.5095962938451357,48,0.7223529411764706,Boots of Travel,50,0.43875603457954415,Phase Boots,36,0.3954861111111111,Magic Wand,214,0.4797869765190026,Tranquil Boots,152,0.44063324538258575,Shadow Blade
70,70,Ursa,0.5638199475874827,70,0.6293706293706294,70,0.673874926943308,70,0.6138613861386139,70,0.45977011494252873,70,0.43521594684385384,70,0.4413793103448276,E,0.5591397849462365,50,0.5296028705813897,Phase Boots,48,0.7919980718245361,Boots of Travel,1,0.5838576795980264,Blink Dagger,81,0.5980487248245564,Vladmir's Offering,143,0.597051597051597,Skull Basher
71,71,Spirit Breaker,0.5334318433690433,71,0.6650446066504461,71,0.5753424657534246,71,0.6196990424076607,71,0.39664804469273746,71,0.42679558011049723,71,0.43456162642947904,E,0.5459692639525479,92,0.537888404437331,Urn of Shadows,63,0.5331689093612854,Power Treads,36,0.49502677888293795,Magic Wand,55,0.6675489677077819,Hyperstone,152,0.5333333333333333,Shadow Blade
72,72,Gyrocopter,0.4498710328585847,72,0.5367647058823529,72,0.5494505494505495,72,0.5560802833530106,72,0.3178294573643411,72,0.3557692307692308,72,0.36893203883495146,W,0.451171875,50,0.4205580661358583,Phase Boots,48,0.7456186935740841,Boots of Travel,212,0.36645962732919257,Ring of Aquila,164,0.42522281639928705,Helm of the Dominator,36,0.3152327221438646,Magic Wand
73,73,Alchemist,0.5100988397077783,73,0.5355191256830601,73,0.6049056603773585,73,0.5690140845070423,73,0.3856589147286822,73,0.3867924528301887,73,0.40329218106995884,E,0.5171083737713077,48,0.580724946695096,Boots of Travel,41,0.3045280122793553,Bottle,137,0.5567952832300918,Radiance,147,0.6450878139423365,Manta Style,235,0.7118775022827843,Octarine Core
74,74,Invoker,0.5141327297281875,74,0.6177746918937684,74,0.6011195636572413,74,0.5946166394779772,74,0.42577319587628865,74,0.4189723320158103,74,0.42924528301886794,W,0.5383215585527724,48,0.6522057745859593,Boots of Travel,50,0.457043679490888,Phase Boots,108,0.6080572083629019,Aghanim's Scepter,98,0.566577896138482,Orchid Malevolence,36,0.4063595597227884,Magic Wand
